 schemaname |           tablename            | tableowner 
------------+--------------------------------+------------
 public     | dispatch_action                | mdw_admin
 public     | dispatch_agent                 | mdw_admin
 public     | dispatch_bracket               | mdw_admin
 public     | dispatch_category              | mdw_admin
 public     | dispatch_client                | mdw_admin
 public     | dispatch_client3d              | mdw_admin
 public     | dispatch_comment               | mdw_admin
 public     | dispatch_course                | mdw_admin
 public     | dispatch_discount              | mdw_admin
 public     | dispatch_doctorsetting         | mdw_admin
 public     | dispatch_doctorsetting_masters | mdw_admin
 public     | dispatch_doctorsetting_sales   | mdw_admin
 public     | dispatch_event                 | mdw_admin
 public     | dispatch_file                  | mdw_admin
 public     | dispatch_globalsetting         | mdw_admin
 public     | dispatch_instance              | mdw_admin
 public     | dispatch_instruction           | mdw_admin
 public     | dispatch_jaw                   | mdw_admin
 public     | dispatch_language              | mdw_admin
 public     | dispatch_link                  | mdw_admin
 public     | dispatch_master                | mdw_admin
 public     | dispatch_note                  | mdw_admin
 public     | dispatch_notification          | mdw_admin
 public     | dispatch_offer                 | mdw_admin
 public     | dispatch_office                | mdw_admin
 public     | dispatch_office_doctors        | mdw_admin
 public     | dispatch_operation             | mdw_admin
 public     | dispatch_order                 | mdw_admin
 public     | dispatch_patient               | mdw_admin
 public     | dispatch_payment               | mdw_admin
 public     | dispatch_plan                  | mdw_admin
 public     | dispatch_product               | mdw_admin
 public     | dispatch_product_roles         | mdw_admin
 public     | dispatch_product_successors    | mdw_admin
 public     | dispatch_project               | mdw_admin
 public     | dispatch_purchase              | mdw_admin
 public     | dispatch_reading               | mdw_admin
 public     | dispatch_record                | mdw_admin
 public     | dispatch_record_attachments    | mdw_admin
 public     | dispatch_record_roles          | mdw_admin
 public     | dispatch_role                  | mdw_admin
 public     | dispatch_role_permissions      | mdw_admin
 public     | dispatch_state                 | mdw_admin
 public     | dispatch_storage               | mdw_admin
 public     | dispatch_task                  | mdw_admin
 public     | dispatch_template              | mdw_admin
 public     | dispatch_template_edit_roles   | mdw_admin
 public     | dispatch_template_predecessors | mdw_admin
 public     | dispatch_template_products     | mdw_admin
 public     | dispatch_template_view_groups  | mdw_admin
 public     | dispatch_template_view_roles   | mdw_admin
 public     | dispatch_usersetting           | mdw_admin
 public     | dispatch_ware                  | mdw_admin
(53 rows)

